ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/1aGLzV9KTZtu0GRPBiOBXpyDOLDpRR7fl,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
H31221,variable,,BLUSA SPACECAT ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,"SPACECAT 1.jpg, SPACECAT 2.jpg, SPACECAT 3.jpg, SPACECAT 4.jpg",,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31221XS,variable,,BLUSA SPACECAT XS,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XS,,,
H31221S,variable,,BLUSA SPACECAT S,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31221M,variable,,BLUSA SPACECAT M,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31221L,variable,,BLUSA SPACECAT L,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31221XL,variable,,BLUSA SPACECAT XL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31221XXL,variable,,BLUSA SPACECAT XXL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
H31224,variable,,BLUSA LOL ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,"LOL 1.jpg, LOL 2.jpg, LOL 3.jpg",,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31224XS,variable,,BLUSA LOL XS,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XS,,,
H31224S,variable,,BLUSA LOL S,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31224M,variable,,BLUSA LOL M,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31224L,variable,,BLUSA LOL L,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31224XL,variable,,BLUSA LOL XL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31224XXL,variable,,BLUSA LOL XXL,1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
H31248,variable,,BLUSA RAINBOW ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,RAINBOW.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31248XS,variable,,BLUSA RAINBOW (XS),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XS,,,
H31248S,variable,,BLUSA RAINBOW (S),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31248M,variable,,BLUSA RAINBOW (M),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31248L,variable,,BLUSA RAINBOW (L),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31248XL,variable,,BLUSA RAINBOW (XL),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31248XXL,variable,,BLUSA RAINBOW (XXL),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
H31251,variable,,BLUSA AVOCADO ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,AVOCADO.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31251XS,variable,,BLUSA AVOCADO (XS),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XS,,,
H31251S,variable,,BLUSA AVOCADO (S),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,S,,,
H31251M,variable,,BLUSA AVOCADO (M),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,M,,,
H31251L,variable,,BLUSA AVOCADO (L),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,L,,,
H31251XL,variable,,BLUSA AVOCADO (XL),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XL,,,
H31251XXL,variable,,BLUSA AVOCADO (XXL),1,1,visible,,,taxable,parent,1,2,,,,,,96000,,,,,,Talla,XXL,,,
H31244,variable,,BLUSA SMALLBOX ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,SMALLBOX.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31244XS,variable,,BLUSA SMALLBOX (XS),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XS,,,
H31244S,variable,,BLUSA SMALLBOX (S),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,S,,,
H31244M,variable,,BLUSA SMALLBOX (M),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,M,,,
H31244L,variable,,BLUSA SMALLBOX (L),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,L,,,
H31244XL,variable,,BLUSA SMALLBOX (XL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XL,,,
H31244XXL,variable,,BLUSA SMALLBOX (XXL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XXL,,,
H31252,variable,,BLUSA GLOBE ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,GLOBE.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31252XS,variable,,BLUSA GLOBE (XS),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XS,,,
H31252S,variable,,BLUSA GLOBE (S),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,S,,,
H31252M,variable,,BLUSA GLOBE (M),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,M,,,
H31252L,variable,,BLUSA GLOBE (L),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,L,,,
H31252XL,variable,,BLUSA GLOBE (XL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XL,,,
H31252XXL,variable,,BLUSA GLOBE (XXL),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XXL,,,
H31249,variable,,BLUSA ALIEN ,1,1,visible,,"Nuestras BLUSAS viene con escote tipo U, 2 bolsillos frontales y aberturas a los lados que le brindan un mejor ajuste al cuerpo, sin cierre ya que al ser licrado no es necesario y te brinda más comodidad.

Están fabricados en telas de última tecnología como lo es el
Antifluido stretch con elongación bidireccional, posee una composición de 88%
poliéster - 12% Lycra, que además de brindar frescura y protección te da
libertad de movimiento.

El proceso de diseño es realizado
por sublimación digital de alta calidad, para que los colores sean vivos y
duraderos
",taxable,parent,0,,,,,,,96000,BLUSA ESTAMPADA,,,ALIEN.jpg,,Talla,"XS, S, M, L, XL, XXL",1,1,M
H31249XS,variable,,BLUSA ALIEN (XS),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,XS,,,
H31249S,variable,,BLUSA ALIEN (S),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,S,,,
H31249M,variable,,BLUSA ALIEN (M),1,1,visible,,,taxable,parent,1,6,,,,,,96000,,,,,,Talla,M,,,
