"INGRESA AQUI LOS PRODUCTOS VARIABLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID","Tipo","SKU padre","sku ","Nombre","Publicado (0/1)","¿Está destacado? (0/1)","Visibilidad en el catálogo","Descripción corta","Descripción","Estado del impuesto","Clase de impuesto","¿En inventario? (0/1)","Inventario (cantidad)","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes https://drive.google.com/drive/folders/1i9GHkuXTpf8pYqphmtF9dLWNeRXMGxlH","Swatches Attributes","Nombre del atributo 1","Valor(es) del atributo talla","Atributo visible talla","Atributo global talla","Atributo por defecto talla",""
"","variable","","","PANTALONETA CASA DE PAPEL -M","1","0","visible","","","","","","","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","PANTALONETA CASA DE PAPEL - L","1","0","visible","","","","","","","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"106","variable","","","PANTALONETA FLORES","1","0","visible","","PANATLONETAS UNISEX ELABORADAS EN ANTIFLUIDO CON ESPANDEX.","","","","","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","PANTALONETA FLORES -M","1","0","visible","","","","","","","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","PANTALONETA FLORES -L","1","0","visible","","","","","","","","","","","","50,000","PANTALONETA","","","","","","","","","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"107","variable","","","SANDALIAS BLACK SABBATH","1","0","visible","","SANDALIAS ELABORADAS EN SINTETICOS DE LARGA DURACION Y PEGANTE  80% A BASE DE AGUA, TIENEN TACHES","","","","","","","","","","115,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BLACK SABBATH  T-35","1","0","visible","","","","","","","","","","","","115,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BLACK SABBATH  T-36","1","0","visible","","","","","","","","","","","","115,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BLACK SABBATH  T-37","1","0","visible","","","","","","","","","","","","115,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BLACK SABBATH  T-38","1","0","visible","","","","","","","","","","","","115,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BLACK SABBATH  T-39","1","0","visible","","","","","","","","","","","","115,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS BLACK SABBATH  T-40","1","0","visible","","","","","","","","","","","","115,000","ZAPATOS","","","","","","","","","",""
"","variable","","","","1","0","visible","","","","","","","","","","","","","","","","","","","","","","",""
"108","variable","","","SANDALIAS GUNS N ROSES ","1","0","visible","","SANDALIAS ELABORADAS EN SINTETICOS DE LARGA DURACION Y PEGANTE 80% A BASE DE AGUA, TIENEN TRIPLE HEBILLA Y TACON GRUESO, LO QUE LAS HACE MAS COMODAS.","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS GUNS N ROSES T-35","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS GUNS N ROSES T-36","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS GUNS N ROSES T-37","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS GUNS N ROSES T-38","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
"","variable","","","SANDALIAS GUNS N ROSES T-39","1","0","visible","","","","","","","","","","","","120,000","ZAPATOS","","","","","","","","","",""
